Package	Version
stats	4.5.2
stats4	4.5.2
stringi	1.8.7
stringr	1.6.0
SummarizedExperiment	1.40.0
survival	3.8-3
sys	3.4.3
systemfonts	1.3.1
tcltk	4.5.2
tensor	1.5.1
terra	1.8-86
testthat	3.3.1
textshaping	1.0.4
threejs	0.3.4
tibble	3.3.0
tidyr	1.3.1
tidyselect	1.2.1
tidytree	0.4.6
tidyverse	2.0.0
timechange	0.3.0
timeDate	4051.111
tinytex	0.58
tools	4.5.2
topGO	2.62.0
treeio	1.34.0
tseries	0.10-58
TSP	1.2.6
TTR	0.24.4
tweenr	2.0.3
TxDb.Dmelanogaster.UCSC.dm3.ensGene	3.2.2
txdbmaker	1.6.0
tzdb	0.5.0
UCSC.utils	1.6.0
UpSetR	1.4.0
urca	1.3-4
utf8	1.2.6
utils	4.5.2
uuid	1.2-1
uwot	0.2.4
V8	8.0.1
vctrs	0.6.5
vegan	2.7-2
viridis	0.6.5
viridisLite	0.4.2
vroom	1.6.7
waldo	0.6.2
webshot	0.5.5
withr	3.0.2
xfun	0.54
XML	3.99-0.20
xml2	1.5.1
xtable	1.8-4
xts	0.14.1
XVector	0.50.0
yaml	2.3.11
yulab.utils	0.2.2
zip	2.3.3
zoo	1.8-14
